,brand,model,year,Energy,gear_box,Trim,price
23,PEUGEOT,308,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,33889
24,PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure Pack,21990
25,PEUGEOT,3008,2019,Essence,Automatique,1.2 PureTech 130ch Allure S&S EAT6,27690
26,PEUGEOT,3008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Roadtrip EAT8,38890
27,RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business 131g,19590
28,VOLKSWAGEN,Polo,2022,Essence,Manuelle,1.0 TSI 95ch Life,22490
29,PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 75ch S&S Active Business,17799
30,PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch GT Pack,36890
31,NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch N-Connecta Euro6d-T,21890
32,RENAULT,Captur,2018,Essence,Manuelle,0.9 TCe 90ch energy Business Euro6c,14999
33,RENAULT,Kadjar,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 21,23780
34,PEUGEOT,2008,2018,Essence,Manuelle,1.2 PureTech 130ch Crossway S&S,16490
35,NISSAN,Qashqai,2020,Essence,Automatique,1.3 DIG-T 158ch N-Connecta DCT 2021,26490
